original_url,modified_url,gender,DATE,MEET,STATE_PROV
https://www.tfrrs.org/results/87940/Utica_Holiday_Classic,https://www.tfrrs.org/results/m/87940/Utica_Holiday_Classic,m,2024-12-07,Utica Holiday Classic,NY
https://www.tfrrs.org/results/87940/Utica_Holiday_Classic,https://www.tfrrs.org/results/f/87940/Utica_Holiday_Classic,f,2024-12-07,Utica Holiday Classic,NY
https://www.tfrrs.org/results/87804/Mary_Grinaker_Invitational,https://www.tfrrs.org/results/m/87804/Mary_Grinaker_Invitational,m,2024-12-07,Mary Grinaker Invitational,MA
https://www.tfrrs.org/results/87804/Mary_Grinaker_Invitational,https://www.tfrrs.org/results/f/87804/Mary_Grinaker_Invitational,f,2024-12-07,Mary Grinaker Invitational,MA
https://www.tfrrs.org/results/87654/Bow_Tie_Invitational,https://www.tfrrs.org/results/m/87654/Bow_Tie_Invitational,m,2024-12-07,Bow Tie Invitational,PA
https://www.tfrrs.org/results/87654/Bow_Tie_Invitational,https://www.tfrrs.org/results/f/87654/Bow_Tie_Invitational,f,2024-12-07,Bow Tie Invitational,PA
https://www.tfrrs.org/results/87238/Chuck_Petersen_Open,https://www.tfrrs.org/results/m/87238/Chuck_Petersen_Open,m,2024-12-07,Chuck Petersen Open,MN
https://www.tfrrs.org/results/87238/Chuck_Petersen_Open,https://www.tfrrs.org/results/f/87238/Chuck_Petersen_Open,f,2024-12-07,Chuck Petersen Open,MN
https://www.tfrrs.org/results/87644/Tiffin_University_College_Open_1,https://www.tfrrs.org/results/m/87644/Tiffin_University_College_Open_1,m,2024-12-07,Tiffin University College Open #1,OH
https://www.tfrrs.org/results/87644/Tiffin_University_College_Open_1,https://www.tfrrs.org/results/f/87644/Tiffin_University_College_Open_1,f,2024-12-07,Tiffin University College Open #1,OH
https://www.tfrrs.org/results/87859/11th_Annual_Spartan_Alumni_Holiday_Classic,https://www.tfrrs.org/results/m/87859/11th_Annual_Spartan_Alumni_Holiday_Classic,m,2024-12-07,11th Annual Spartan Alumni Holiday Classic,OH
https://www.tfrrs.org/results/87859/11th_Annual_Spartan_Alumni_Holiday_Classic,https://www.tfrrs.org/results/f/87859/11th_Annual_Spartan_Alumni_Holiday_Classic,f,2024-12-07,11th Annual Spartan Alumni Holiday Classic,OH
https://www.tfrrs.org/results/87267/the_TRACK_at_new_balance_Early_Bird_invite,https://www.tfrrs.org/results/m/87267/the_TRACK_at_new_balance_Early_Bird_invite,m,2024-12-07,the TRACK at new balance Early Bird invite,MA
https://www.tfrrs.org/results/87267/the_TRACK_at_new_balance_Early_Bird_invite,https://www.tfrrs.org/results/f/87267/the_TRACK_at_new_balance_Early_Bird_invite,f,2024-12-07,the TRACK at new balance Early Bird invite,MA
https://www.tfrrs.org/results/87176/HBCU__Ivy_Challenge_2024,https://www.tfrrs.org/results/m/87176/HBCU__Ivy_Challenge_2024,m,2024-12-07,HBCU & Ivy Challenge 2024,MA
https://www.tfrrs.org/results/87176/HBCU__Ivy_Challenge_2024,https://www.tfrrs.org/results/f/87176/HBCU__Ivy_Challenge_2024,f,2024-12-07,HBCU & Ivy Challenge 2024,MA
https://www.tfrrs.org/results/86858/Visit_Winston-Salem_College_Kick-off,https://www.tfrrs.org/results/m/86858/Visit_Winston-Salem_College_Kick-off,m,2024-12-07,Visit Winston-Salem College Kick-off,NC
https://www.tfrrs.org/results/86858/Visit_Winston-Salem_College_Kick-off,https://www.tfrrs.org/results/f/86858/Visit_Winston-Salem_College_Kick-off,f,2024-12-07,Visit Winston-Salem College Kick-off,NC
https://www.tfrrs.org/results/87916/Saints_Holiday_Relays,https://www.tfrrs.org/results/m/87916/Saints_Holiday_Relays,m,2024-12-07,Saints Holiday Relays,NY
https://www.tfrrs.org/results/87916/Saints_Holiday_Relays,https://www.tfrrs.org/results/f/87916/Saints_Holiday_Relays,f,2024-12-07,Saints Holiday Relays,NY
https://www.tfrrs.org/results/87435/Wesleyan_Indoor,https://www.tfrrs.org/results/m/87435/Wesleyan_Indoor,m,2024-12-07,Wesleyan Indoor,CT
https://www.tfrrs.org/results/87435/Wesleyan_Indoor,https://www.tfrrs.org/results/f/87435/Wesleyan_Indoor,f,2024-12-07,Wesleyan Indoor,CT
https://www.tfrrs.org/results/87755/Mountaineer_Open,https://www.tfrrs.org/results/m/87755/Mountaineer_Open,m,2024-12-07,Mountaineer Open,CO
https://www.tfrrs.org/results/87755/Mountaineer_Open,https://www.tfrrs.org/results/f/87755/Mountaineer_Open,f,2024-12-07,Mountaineer Open,CO
https://www.tfrrs.org/results/88067/2024_Mel_Tjeerdsma_Classic,https://www.tfrrs.org/results/m/88067/2024_Mel_Tjeerdsma_Classic,m,2024-12-07,2024 Mel Tjeerdsma Classic,MO
